   0       TABLE     a=9   b=246   c=0      f00900f60000  (added)
# irep 0  nregs 4
   1       CLASS     a=0   b=1     c=0      670000010000  (added)
   2       SEND0     a=0   b=12    c=0      3300000c0000  (added)
   3  000  LOADNIL   a=1   b=0     c=0      110100000000
   4  002  LOADNIL   a=2   b=0     c=0      110200000000
   5  004  CLASS     a=1   b=5     c=0      670100050000
   6  007  EXEC      a=1   b=48    c=0      690100300000
   7  010  LOADNIL   a=1   b=0     c=0      110100000000
   8  012  LOADNIL   a=2   b=0     c=0      110200000000
   9  014  CLASS     a=1   b=7     c=0      670100070000
  10  017  EXEC      a=1   b=92    c=0      6901005c0000
  11  020  LOADNIL   a=1   b=0     c=0      110100000000
  12  022  LOADNIL   a=2   b=0     c=0      110200000000
  13  024  CLASS     a=1   b=1     c=0      670100010000
  14  027  EXEC      a=1   b=143   c=0      6901008f0000
  15  030  LOADNIL   a=1   b=0     c=0      110100000000
  16  032  LOADNIL   a=2   b=0     c=0      110200000000
  17  034  CLASS     a=1   b=1     c=0      670100010000
  18  037  EXEC      a=1   b=156   c=0      6901009c0000
  19  040  LOADNIL   a=1   b=0     c=0      110100000000
  20  042  LOADNIL   a=2   b=0     c=0      110200000000
  21  044  CLASS     a=1   b=7     c=0      670100070000
  22  047  EXEC      a=1   b=164   c=0      690100a40000
  23  050  LOADNIL   a=1   b=0     c=0      110100000000
  24  052  LOADNIL   a=2   b=0     c=0      110200000000
  25  054  CLASS     a=1   b=1     c=0      670100010000
  26  057  EXEC      a=1   b=217   c=0      690100d90000
  27  060  LOADNIL   a=1   b=0     c=0      110100000000
  28  062  LOADNIL   a=2   b=0     c=0      110200000000
  29  064  CLASS     a=1   b=2     c=0      670100020000
  30  067  EXEC      a=1   b=232   c=0      690100e80000
  31  070  LOADNIL   a=1   b=0     c=0      110100000000
  32  072  LOADNIL   a=2   b=0     c=0      110200000000
  33  074  CLASS     a=1   b=10    c=0      6701000a0000
  34  077  EXEC      a=1   b=238   c=0      690100ee0000
  35  080  NOP       a=0   b=0     c=0      000000000000
  36  081  GETGV     a=1   b=2     c=0      150100020000
  37  084  LOADI_1   a=2   b=0     c=0      070200000000
  38  086  EQ        a=1   b=0     c=0      4d0100000000
  39  088  JMPNOT    a=1   b=43    c=0      2801002b0000
  40  092  LOADI_1   a=1   b=0     c=0      070100000000
  41  094  SETGV     a=1   b=0     c=0      160100000000
  42  097  JMP       a=0   b=45    c=0      2600002d0000
  43  100  LOADI_0   a=1   b=0     c=0      060100000000
  44  102  SETGV     a=1   b=0     c=0      160100000000
  45  105  JMP       a=0   b=35    c=0      260000230000
  46  108  RETNIL    a=0   b=0     c=0      400000000000
  47  109  STOP      a=0   b=0     c=0      760000000000
# irep 1  nregs 2
  48       ENTER     a=0   b=2     c=0      390000020000  (added)
  49  000  TDEF      a=1   b=13    c=0      6b01000d0000
  50  004  TDEF      a=1   b=14    c=0      6b01000e0000
  51  008  TDEF      a=1   b=15    c=0      6b01000f0000
  52  012  RETURN    a=1   b=0     c=0      3d0100000000
# irep 2  nregs 6
  53  000  ENTER     a=0   b=6     c=0      390000060000
  54  004  LOADI_0   a=2   b=0     c=0      060200000000
  55  006  MOVE      a=3   b=2     c=0      010300020000
  56  009  MOVE      a=4   b=0     c=0      010400000000  <- LOADSELF
  57  011  LT        a=3   b=0     c=0      4e0300000000
  58  013  JMPNOT    a=3   b=65    c=0      280300410000
  59  017  NOP       a=0   b=0     c=0      000000000000
  60  018  MOVE      a=4   b=2     c=0      010400020000
  61  021  BLKPUSH   a=3   b=1     c=0      440300010000
  62  025  BLKCALL   a=3   b=1     c=0      360300010000
  63  028  ADDILV    a=2   b=3     c=1      490200030001
  64  032  JMP       a=0   b=55    c=0      260000370000
  65  035  RETURN    a=0   b=0     c=0      3d0000000000  <- RETSELF
# irep 3  nregs 7
  66  000  ENTER     a=1   b=7     c=0      390100070000
  67  004  MOVE      a=3   b=0     c=0      010300000000  <- LOADSELF
  68  006  MOVE      a=4   b=3     c=0      010400030000
  69  009  MOVE      a=5   b=1     c=0      010500010000
  70  012  LE        a=4   b=0     c=0      4f0400000000
  71  014  JMPNOT    a=4   b=78    c=0      2804004e0000
  72  018  NOP       a=0   b=0     c=0      000000000000
  73  019  MOVE      a=5   b=3     c=0      010500030000
  74  022  BLKPUSH   a=4   b=2     c=0      440400020000
  75  026  BLKCALL   a=4   b=1     c=0      360400010000
  76  029  ADDILV    a=3   b=4     c=1      490300040001
  77  033  JMP       a=0   b=68    c=0      260000440000
  78  036  RETURN    a=0   b=0     c=0      3d0000000000  <- RETSELF
# irep 4  nregs 7
  79  000  ENTER     a=1   b=7     c=0      390100070000
  80  004  MOVE      a=3   b=0     c=0      010300000000  <- LOADSELF
  81  006  MOVE      a=4   b=3     c=0      010400030000
  82  009  MOVE      a=5   b=1     c=0      010500010000
  83  012  GE        a=4   b=0     c=0      510400000000
  84  014  JMPNOT    a=4   b=91    c=0      2804005b0000
  85  018  NOP       a=0   b=0     c=0      000000000000
  86  019  MOVE      a=5   b=3     c=0      010500030000
  87  022  BLKPUSH   a=4   b=2     c=0      440400020000
  88  026  BLKCALL   a=4   b=1     c=0      360400010000
  89  029  SUBILV    a=3   b=4     c=1      4a0300040001
  90  033  JMP       a=0   b=81    c=0      260000510000
  91  036  RETURN    a=0   b=0     c=0      3d0000000000  <- RETSELF
# irep 5  nregs 2
  92       ENTER     a=0   b=2     c=0      390000020000  (added)
  93  000  TDEF      a=1   b=16    c=0      6b0100100000
  94  004  TDEF      a=1   b=17    c=0      6b0100110000
  95  008  TDEF      a=1   b=18    c=0      6b0100120000
  96  012  RETURN    a=1   b=0     c=0      3d0100000000
# irep 6  nregs 7
  97  000  ENTER     a=0   b=7     c=0      390000070000
  98  004  LOADI_0   a=2   b=0     c=0      060200000000
  99  006  MOVE      a=3   b=2     c=0      010300020000
 100  009  SSEND0    a=4   b=19    c=0      300400130000
 101  012  LT        a=3   b=0     c=0      4e0300000000
 102  014  JMPNOT    a=3   b=110   c=0      2803006e0000
 103  018  NOP       a=0   b=0     c=0      000000000000
 104  019  MOVE      a=5   b=2     c=0      010500020000
 105  022  SSEND     a=4   b=9     c=1      2f0400090001
 106  026  BLKPUSH   a=3   b=1     c=0      440300010000
 107  030  BLKCALL   a=3   b=1     c=0      360300010000
 108  033  ADDILV    a=2   b=3     c=1      490200030001
 109  037  JMP       a=0   b=99    c=0      260000630000
 110  040  RETURN    a=0   b=0     c=0      3d0000000000  <- RETSELF
# irep 7  nregs 7
 111  000  ENTER     a=0   b=7     c=0      390000070000
 112  004  LOADI_0   a=2   b=0     c=0      060200000000
 113  006  MOVE      a=3   b=2     c=0      010300020000
 114  009  SSEND0    a=4   b=19    c=0      300400130000
